user_input,user_intent,score
"How do I link my existing health policy?","Add Health Policy",1.0
"I want to purchase a new health plan","Buy Health Insurance",1.0
"Add my corporate health plan to my account","Add Corporate Health Policy",1.0
"Can I buy Elevate coverage online?","Buy Elevate",1.0
"How to register my retail health policy?","Add Retail Health Policy",1.0
"I need to insure my car","Buy Car Insurance",1.0
"Link my travel insurance to my profile","Add Travel Policy",1.0
"I need a health policy","Add Health Policy",0.4
"I want a health policy","Buy Health Insurance",1.0
"Add a car insurance plan","Add Vehicle Policy",0.3
"Add a car insurance plan","Buy Car Insurance",0.7
"I already have Elevate. How do I track it?","Add Health Policy",0.1
"I want to add a policy","Add Policy",1
"I want to add a policy","Buy Policy",0.1
"Play a calming sound","Buy Home insurance",0
"Give me directions to the airport","Buy Health Insurance",0
"Check my internet speed","Buy Travel insurance",0
"Suggest a book to read","Buy Bike insurance",0
"Remind me to call mom","Buy Car insurance",0
"What’s on my calendar today?","Buy Active Booster",0
"Find local sports events","Buy MaxProtect",0
"I already have Elevate. How do I track it?","Buy Elevate",0.1
"Set up a home insurance policy for my house","Add Home Policy",1.0
"Purchase Active Booster for my family","Buy Active Booster",1.0
"Can I add my bike insurance to the app?","Add Vehicle Policy",1.0
"Buy MaxProtect for my parents","Buy MaxProtect",1.0
"Add my existing travel policy","Add Travel Policy",1.0
"Sign up for Health AdvantEdge","Buy Health AdvantEdge",1.0
"Add my purchased home policy to my account","Add Home Policy",1.0
"Link my existing Elevate policy","Add Health Policy",1.0
"Where can I buy Health AdvantEdge?","Buy Health AdvantEdge",1.0
"Add my old corporate health plan","Add Corporate Health Policy",1.0
"Get me a new travel insurance plan","Buy Travel Insurance",1.0
"How do I connect my retail health policy?","Add Retail Health Policy",1.0
"Purchase Active Booster Combo today","Buy Active Booster Combo",1.0
"Add my motorcycle insurance details","Add Vehicle Policy",1.0
"I need to buy home insurance","Buy Home Insurance",1.0
"Register my pre-owned health policy","Add Health Policy",1.0
"Sign me up for MaxProtect","Buy MaxProtect",1.0
"Add my spouse's health coverage","Add Health Policy",0.9
"Can I buy a car policy online?","Buy Car Insurance",1.0
"Integrate my corporate health plan","Add Corporate Health Policy",0.95
"Looking for cheap bike insurance","Buy Bike Insurance",1.0
"Add my travel insurance from last year","Add Travel Policy",1.0
"Buy a Health AdvantEdge package","Buy Health AdvantEdge",1.0
"Upload my existing home policy","Add Home Policy",1.0
"I want to purchase Elevate","Buy Elevate",1.0
"Attach my retail health plan","Add Retail Health Policy",1.0
"Need Active Booster for gym","Buy Active Booster",1.0
"Add my vintage car insurance","Add Vehicle Policy",1.0
"Buy a policy for my new house","Buy Home Insurance",1.0
"I need to add a corporate health policy","Add Corporate Health Policy",1
"Register a health policy for my company","Add Corporate Health Policy",1
"Please add corporate health insurance","Add Corporate Health Policy",1
"I want to add a policy","Face Scan",0.1
"I want to add a policy","Buy Bike insurance",0.1
"Please add a new policy for me","Track Health",0.1
"Help me register a policy","Buy Travel insurance",0.1
"Start a policy application","Driving Licence",0.1
"I want to buy Elevate insurance","Buy Elevate",1
"Remind me about my meeting","Add Health Policy",0
"Turn off the lights","Add Health Policy",0
"Play a calming sound","Buy Health Insurance",0
"Give me directions to the airport","Buy Health Insurance",0
"Check my internet speed","Buy Health Insurance",0
"Suggest a book to read","Buy Elevate",0
"Remind me to call mom","Buy Elevate",0
"I need to initiate a policy","Motor self inspection",0.1
"Can you help me add a policy?","IL DriveSmart",0.1
"Process a new policy for my account","ABHA Id",0.1
"I would like to add an insurance policy","View Travel Policies",0.1
"Register a new policy for me","Steps",0.1
"Check my policy status","Buy Car insurance",0.1
"Download my insurance documents","Buy MaxProtect",0.1
"Renew my expired policy","Buy Active Booster",0.1
"Connect my old health plan","Add Health Policy",0.9
"Order MaxProtect for my team","Buy MaxProtect",1.0
"Add my company’s health policy","Add Corporate Health Policy",1.0
"Get bike insurance quotes","Buy Bike Insurance",1.0
"Add last year’s travel policy","Add Travel Policy",1.0
"Buy Health AdvantEdge for family","Buy Health AdvantEdge",1.0
"Register my inherited home policy","Add Home Policy",1.0
"Where to buy Elevate?","Buy Elevate",1.0
"Sync my retail health coverage","Add Retail Health Policy",0.9
"Purchase Active Booster Combo now","Buy Active Booster Combo",1.0
"Add my scooter insurance","Add Vehicle Policy",1.0
"Buy home insurance ASAP","Buy Home Insurance",1.0
"Attach my old health plan","Add Health Policy",0.9
"Buy MaxProtect for my kids","Buy MaxProtect",1.0
"Add our corporate health plan","Add Corporate Health Policy",1.0
"Looking for bike insurance deals","Buy Bike Insurance",1.0
"Add my expired travel policy","Add Travel Policy",0.8
